Location,Boolean,Year,BloomDate
Wakkanai,True,1953,1953-05-21
Rumoi,False,1953,1953-05-08
Asahikawa,True,1953,1953-05-11
Abashiri,True,1953,1953-05-24
Sapporo,True,1953,1953-05-07
Iwamizawa,False,1953,1953-05-09
Obihiro,True,1953,1953-05-15
Kushiro,True,1953,
Nemuro,False,1953,
Muroran,True,1953,1953-05-10
Urakawa,False,1953,1953-05-09
Esashi,False,1953,1953-05-08
Hakodate,True,1953,1953-05-02
Kutchan,False,1953,1953-05-12
Monbetsu,False,1953,
Hiroo,False,1953,
Shinjo,False,1953,
Aomori,True,1953,
Hachinohe,False,1953,1953-04-26
Akita,True,1953,1953-04-22
Morioka,True,1953,1953-04-27
Miyako,False,1953,1953-04-22
Sakata,False,1953,1953-04-15
Yamagata,True,1953,1953-04-19
Sendai,True,1953,1953-04-11
Fukushima,True,1953,1953-04-09
Shirakawa,False,1953,1953-04-16
Onahama,False,1953,1953-04-06
Wajima,False,1953,1953-04-08
Aikawa,False,1953,1953-04-11
Niigata,True,1953,1953-04-13
Kanazawa,True,1953,1953-04-02
Toyama,True,1953,1953-04-08
Nagano,True,1953,1953-04-17
Takada,False,1953,1953-04-10
Utsunomiya,True,1953,1953-04-06
Fukui,True,1953,1953-04-07
Takayama,False,1953,1953-04-21
Matsumoto,False,1953,1953-04-11
Maebashi,True,1953,1953-04-03
Kumagaya,True,1953,1953-04-01
Mito,True,1953,1953-04-04
Tsuruga,False,1953,1953-04-03
Gifu,True,1953,1953-04-03
Nagoya,True,1953,1953-04-03
Iida,False,1953,1953-04-07
Kofu,True,1953,1953-03-30
Choshi,True,1953,1953-03-25
Tsu,True,1953,1953-04-01
Hamamatsu,False,1953,1953-04-01
Shizuoka,True,1953,1953-03-25
Tokyo Japan,True,1953,1953-03-26
Owashi,False,1953,1953-03-22
Yokohama,True,1953,1953-03-25
Tateyama,False,1953,
Oshima,False,1953,1953-04-05
Miyakejima,False,1953,
Hachijojima,False,1953,1953-03-27
Saigo,False,1953,1953-04-06
Matsue,True,1953,1953-04-02
Yonago,False,1953,
Tottori,True,1953,1953-04-03
Toyooka,False,1953,1953-04-05
Maizuru,False,1953,1953-04-01
Hamada,False,1953,1953-03-23
Kyoto,True,1953,1953-04-05
Hikone,True,1953,1953-04-05
Hiroshima,True,1953,1953-04-02
Okayama,True,1953,1953-03-31
Kobe,True,1953,1953-04-04
Osaka,True,1953,1953-04-02
Sumoto,False,1953,1953-03-30
Wakayama,True,1953,1953-03-20
Shio Misaki,False,1953,
Nara,True,1953,
Matsuyama,True,1953,1953-03-26
Takamatsu,True,1953,1953-04-01
Uwajima,False,1953,
Kochi,True,1953,
Tokushima,True,1953,1953-03-27
Shimonoseki,True,1953,1953-03-29
Mikihara,False,1953,1953-03-28
Fukuoka,True,1953,1953-03-28
Saga,True,1953,1953-03-26
Oita,True,1953,1953-03-26
Fukue,False,1953,1953-03-26
Nagasaki,True,1953,1953-03-26
Kumamoto,True,1953,1953-03-28
Nobeoka,False,1953,
Kagoshima,True,1953,1953-03-29
Miyazaki,True,1953,
Yakushima,False,1953,
Tanegashima,False,1953,1953-03-25
Naze,True,1953,1953-01-29
Yonaguni Island,False,1953,
Ishigaki Island,True,1953,1953-01-09
Miyakojima,True,1953,
Kumejima,False,1953,
Naha,True,1953,
Nago,False,1953,
Iriomote Island,False,1953,
Minami Daito Island,True,1953,
Wakkanai,True,1954,1954-05-17
Rumoi,False,1954,1954-05-11
Asahikawa,True,1954,1954-05-13
Abashiri,True,1954,1954-05-16
Sapporo,True,1954,1954-05-04
Iwamizawa,False,1954,1954-05-06
Obihiro,True,1954,1954-05-07
Kushiro,True,1954,
Nemuro,False,1954,
Muroran,True,1954,1954-05-07
Urakawa,False,1954,1954-05-07
Esashi,False,1954,1954-05-01
Hakodate,True,1954,1954-05-03
Kutchan,False,1954,1954-05-11
Monbetsu,False,1954,
Hiroo,False,1954,
Shinjo,False,1954,
Aomori,True,1954,
Hachinohe,False,1954,1954-04-24
Akita,True,1954,1954-04-17
Morioka,True,1954,1954-04-19
Miyako,False,1954,1954-04-16
Sakata,False,1954,1954-04-11
Yamagata,True,1954,1954-04-13
Sendai,True,1954,1954-04-06
Fukushima,True,1954,1954-04-05
Shirakawa,False,1954,1954-04-06
Onahama,False,1954,1954-04-01
Wajima,False,1954,1954-04-05
Aikawa,False,1954,1954-04-06
Niigata,True,1954,1954-04-08
Kanazawa,True,1954,1954-04-01
Toyama,True,1954,1954-04-04
Nagano,True,1954,1954-04-07
Takada,False,1954,1954-04-04
Utsunomiya,True,1954,1954-04-02
Fukui,True,1954,1954-04-02
Takayama,False,1954,1954-04-06
Matsumoto,False,1954,1954-04-07
Maebashi,True,1954,1954-03-29
Kumagaya,True,1954,1954-03-30
Mito,True,1954,1954-04-01
Tsuruga,False,1954,1954-03-30
Gifu,True,1954,1954-03-29
Nagoya,True,1954,1954-03-30
Iida,False,1954,1954-04-03
Kofu,True,1954,1954-03-31
Choshi,True,1954,1954-03-26
Tsu,True,1954,1954-03-30
Hamamatsu,False,1954,1954-03-28
Shizuoka,True,1954,1954-03-27
Tokyo Japan,True,1954,1954-03-26
Owashi,False,1954,1954-03-26
Yokohama,True,1954,1954-03-26
Tateyama,False,1954,
Oshima,False,1954,1954-03-26
Miyakejima,False,1954,
Hachijojima,False,1954,1954-04-03
Saigo,False,1954,1954-03-31
Matsue,True,1954,1954-03-31
Yonago,False,1954,1954-04-05
Tottori,True,1954,1954-04-01
Toyooka,False,1954,1954-04-02
Maizuru,False,1954,1954-03-30
Hamada,False,1954,1954-03-26
Kyoto,True,1954,1954-03-29
Hikone,True,1954,1954-03-31
Hiroshima,True,1954,1954-03-28
Okayama,True,1954,1954-03-28
Kobe,True,1954,1954-03-28
Osaka,True,1954,1954-03-31
Sumoto,False,1954,1954-03-27
Wakayama,True,1954,1954-03-21
Shio Misaki,False,1954,
Nara,True,1954,1954-03-27
Matsuyama,True,1954,1954-03-27
Takamatsu,True,1954,1954-03-30
Uwajima,False,1954,
Kochi,True,1954,1954-03-25
Tokushima,True,1954,1954-03-28
Shimonoseki,True,1954,1954-03-28
Mikihara,False,1954,1954-03-25
Fukuoka,True,1954,1954-03-28
Saga,True,1954,1954-03-27
Oita,True,1954,1954-03-27
Fukue,False,1954,1954-03-30
Nagasaki,True,1954,1954-03-27
Kumamoto,True,1954,1954-03-26
Nobeoka,False,1954,
Kagoshima,True,1954,1954-03-31
Miyazaki,True,1954,
Yakushima,False,1954,
Tanegashima,False,1954,1954-04-06
Naze,True,1954,1954-01-21
Yonaguni Island,False,1954,
Ishigaki Island,True,1954,
Miyakojima,True,1954,
Kumejima,False,1954,
Naha,True,1954,
Nago,False,1954,
Iriomote Island,False,1954,
Minami Daito Island,True,1954,
Wakkanai,True,1955,1955-05-17
Rumoi,False,1955,1955-05-13
Asahikawa,True,1955,1955-05-09
Abashiri,True,1955,1955-05-18
Sapporo,True,1955,1955-05-11
Iwamizawa,False,1955,1955-05-10
Obihiro,True,1955,1955-05-10
Kushiro,True,1955,
Nemuro,False,1955,
Muroran,True,1955,1955-05-18
Urakawa,False,1955,1955-05-11
Esashi,False,1955,1955-05-03
Hakodate,True,1955,1955-05-08
Kutchan,False,1955,1955-05-19
Monbetsu,False,1955,
Hiroo,False,1955,
Shinjo,False,1955,
Aomori,True,1955,
Hachinohe,False,1955,1955-04-23
Akita,True,1955,1955-04-16
Morioka,True,1955,1955-04-18
Miyako,False,1955,1955-04-12
Sakata,False,1955,1955-04-10
Yamagata,True,1955,1955-04-12
Sendai,True,1955,1955-04-11
Fukushima,True,1955,1955-04-09
Shirakawa,False,1955,1955-04-11
Onahama,False,1955,1955-04-03
Wajima,False,1955,1955-04-07
Aikawa,False,1955,1955-04-08
Niigata,True,1955,1955-04-09
Kanazawa,True,1955,1955-04-01
Toyama,True,1955,1955-04-06
Nagano,True,1955,1955-04-10
Takada,False,1955,1955-04-03
Utsunomiya,True,1955,1955-04-03
Fukui,True,1955,1955-04-01
